Item,Package Size,Module Size,Redundant Count
java.util.concurrent.atomic,11,5,361
com.sun.corba.se.spi.orbutil.proxy,10,5,288
javax.rmi,12,6,319
org.omg.CORBA_2_3,3,3,40
java.util.concurrent,14,6,430
com.sun.corba.se.impl.resolver,19,7,297
org.omg.stub.java.rmi,3,3,253
com.sun.corba.se.internal.CosNaming,8,5,266
com.sun.corba.se.internal.Interceptors,1,1,25
com.sun.corba.se.internal.POA,1,1,25
com.sun.corba.se.internal.iiop,1,1,36
com.sun.corba.se.internal.corba,1,1,36
com.sun.corba.se.spi.activation.InitialNameServicePackage,4,4,52
com.sun.imageio.plugins.bmp,17,5,343
com.sun.imageio.plugins.common,11,4,276
java.awt.color,6,3,90
java.awt.image,11,6,361
javax.imageio,16,4,271
javax.imageio.event,4,3,92
javax.imageio.metadata,8,4,161
javax.imageio.plugins.bmp,4,3,92
javax.imageio.spi,18,5,302
javax.imageio.stream,10,5,392
org.w3c.dom,2,2,103
com.sun.imageio.plugins.gif,15,5,345
sun.awt.image,32,8,482
com.sun.imageio.plugins.jpeg,16,6,377
javax.imageio.plugins.jpeg,5,4,124
sun.java2d,24,6,283
com.sun.imageio.plugins.png,15,6,372
java.util.zip,14,5,383
com.sun.imageio.plugins.wbmp,12,5,348
com.sun.imageio.spi,5,3,91
com.sun.imageio.stream,7,3,89
com.sun.istack.internal,12,7,480
javax.activation,9,4,273
com.sun.istack.internal.localization,4,3,67
com.sun.istack.internal.logging,3,2,61
com.sun.java.swing,37,10,521
javax.swing,53,12,534
com.sun.java.swing.plaf.gtk,36,9,407
java.awt.event,11,6,355
javax.accessibility,10,6,310
javax.swing.border,8,5,286
javax.swing.colorchooser,15,7,378
javax.swing.event,15,8,498
javax.swing.filechooser,11,6,350
javax.swing.plaf,12,6,349
javax.swing.plaf.basic,40,10,518
javax.swing.plaf.synth,34,10,524
javax.swing.table,17,8,413
javax.swing.text,33,10,515
sun.awt.shell,8,6,461
sun.font,33,8,415
sun.security.action,4,2,60
sun.swing,40,13,619
sun.swing.plaf.synth,19,9,502
com.sun.java.swing.plaf.gtk.resources,2,2,62
com.sun.java.swing.plaf.motif,18,7,375
javax.swing.tree,13,6,348
com.sun.java.swing.plaf.motif.resources,2,2,62
com.sun.java.swing.plaf.nimbus,2,2,43
javax.swing.plaf.nimbus,23,8,445
sun.awt.windows,2,2,221
sun.swing.table,10,5,308
com.sun.java.swing.plaf.windows.resources,2,2,62
com.sun.java.util.jar.pack,14,6,390
java.nio.file,17,4,353
java.nio.file.attribute,8,4,362
java.util.jar,16,6,453
sun.util.logging,9,4,253
com.sun.java_cup.internal.runtime,4,3,133
com.sun.jmx.defaults,2,2,62
com.sun.jmx.interceptor,12,4,358
com.sun.jmx.mbeanserver,17,5,375
com.sun.jmx.remote.util,13,4,176
javax.management,17,5,375
javax.management.loading,13,4,357
java.util.concurrent.locks,7,4,363
javax.management.openmbean,12,5,430
com.sun.jmx.remote.internal,14,6,245
com.sun.jmx.remote.security,18,6,434
javax.management.remote,11,5,369
javax.security.auth,9,6,335
com.sun.jmx.remote.protocol.rmi,7,5,373
javax.management.remote.rmi,31,9,430
java.security.cert,13,4,314
java.util.regex,11,5,366
javax.security.auth.callback,4,3,132
javax.security.auth.login,11,5,142
javax.security.auth.spi,5,4,141
sun.management.jmxremote,26,7,424
com.sun.jmx.snmp,10,4,360
com.sun.jmx.snmp.internal,9,4,361
com.sun.jmx.snmp.IPAcl,10,5,387
java.security.acl,4,3,87
com.sun.jmx.snmp.agent,9,4,197
com.sun.jmx.snmp.daemon,14,6,393
com.sun.jmx.snmp.tasks,3,3,88
com.sun.jmx.snmp.defaults,3,2,61
com.sun.jmx.snmp.mpm,2,2,145
com.sun.jndi.dns,17,5,343
com.sun.jndi.toolkit.ctx,7,3,90
com.sun.jndi.toolkit.url,8,4,280
javax.naming,6,3,91
javax.naming.directory,6,3,91
javax.naming.spi,8,4,280
sun.net,11,4,246
sun.net.dns,5,3,92
sun.security.jca,7,3,129
com.sun.jndi.ldap,24,6,451
com.sun.jndi.ldap.ext,10,5,350
com.sun.jndi.ldap.pool,7,4,281
com.sun.jndi.ldap.sasl,9,5,275
com.sun.jndi.toolkit.dir,7,3,90
com.sun.jndi.url.ldap,8,4,161
java.lang.invoke,24,7,442
javax.naming.event,5,3,92
javax.naming.ldap,11,4,277
javax.net,4,3,251
javax.net.ssl,15,6,449
sun.security.util,31,9,472
javax.security.sasl,6,4,245
com.sun.jndi.rmi.registry,12,5,313
com.sun.jndi.url.rmi,7,3,90
java.rmi.registry,9,4,284
com.sun.jndi.toolkit.corba,6,4,97
com.sun.jndi.url.corbaname,1,1,114
com.sun.jndi.url.iiop,7,5,396
com.sun.jndi.url.dns,8,4,280
com.sun.jndi.url.iiopname,1,1,114
com.sun.jndi.url.ldaps,1,1,71
com.sun.management,19,4,351
java.lang.management,10,4,360
sun.management,31,7,358
com.sun.media.sound,16,6,434
java.util.prefs,13,4,315
javax.sound.midi,7,3,248
javax.sound.midi.spi,4,3,251
javax.sound.sampled,8,3,247
javax.sound.sampled.spi,4,3,251
com.sun.naming.internal,10,4,278
com.sun.net.httpserver,9,4,361
com.sun.net.httpserver.spi,8,3,247
sun.net.httpserver,15,5,362
com.sun.net.ssl,11,5,338
javax.security.cert,7,4,151
com.sun.net.ssl.internal.www.protocol.https,14,5,335
sun.net.www.protocol.http,28,5,306
sun.net.www.protocol.https,16,5,333
sun.security.x509,22,6,427
com.sun.nio.file,2,2,145
com.sun.nio.sctp,9,3,246
java.nio.channels.spi,11,5,361
sun.nio.ch.sctp,12,3,243
com.sun.org.apache.bcel.internal,4,3,251
com.sun.org.apache.bcel.internal.classfile,10,5,345
com.sun.org.apache.bcel.internal.util,10,4,272
com.sun.org.apache.bcel.internal.generic,8,3,247
com.sun.org.apache.xalan.internal.utils,10,6,505
com.sun.org.apache.xalan.internal,21,6,406
com.sun.org.apache.xalan.internal.extensions,7,3,289
com.sun.org.apache.xml.internal.utils,20,7,414
com.sun.org.apache.xpath.internal,38,6,432
com.sun.org.apache.xpath.internal.objects,16,4,312
org.w3c.dom.traversal,3,2,102
com.sun.org.apache.xalan.internal.lib,18,6,344
com.sun.org.apache.xalan.internal.res,5,3,132
com.sun.org.apache.xml.internal.dtm,8,3,288
com.sun.org.apache.xml.internal.dtm.ref,25,6,445
com.sun.org.apache.xpath.internal.axes,18,4,310
jdk.xml.internal,16,7,526
com.sun.org.apache.xpath.internal.res,6,6,356
com.sun.org.apache.xalan.internal.templates,2,2,103
javax.xml,1,1,31
com.sun.org.apache.xml.internal.utils.res,3,3,134
javax.xml.transform.dom,3,3,293
javax.xml.transform.sax,7,5,348
javax.xml.transform.stream,4,3,251
com.sun.org.apache.xalan.internal.xsltc,33,6,329
com.sun.org.apache.xml.internal.serializer,16,5,339
com.sun.org.apache.xalan.internal.xsltc.compiler,27,7,515
com.sun.org.apache.xalan.internal.xsltc.compiler.util,13,5,322
com.sun.org.apache.xalan.internal.xsltc.dom,30,7,447
com.sun.org.apache.xalan.internal.xsltc.runtime,21,7,343
com.sun.org.apache.xalan.internal.xsltc.runtime.output,11,5,268
com.sun.org.apache.xml.internal.serializer.utils,7,6,355
com.sun.org.apache.xalan.internal.xsltc.trax,34,7,508
com.sun.org.apache.xalan.internal.xsltc.util,2,2,62
com.sun.org.apache.xml.internal.dtm.ref.sax2dtm,12,5,343
com.sun.org.apache.xml.internal.res,5,5,166
javax.xml.transform.stax,4,4,361
org.xml.sax.ext,5,3,132
com.sun.org.apache.xerces.internal.jaxp,24,5,300
javax.xml.stream.events,6,4,200
com.sun.org.apache.xerces.internal.dom,30,6,256
com.sun.org.apache.xerces.internal.dom.events,4,3,216
com.sun.org.apache.xerces.internal.impl,24,7,518
com.sun.org.apache.xerces.internal.impl.dtd,13,3,166
com.sun.org.apache.xerces.internal.impl.dv,9,4,177
com.sun.org.apache.xerces.internal.impl.dv.xs,19,5,305
com.sun.org.apache.xerces.internal.impl.msg,5,4,181
com.sun.org.apache.xerces.internal.impl.validation,6,3,173
com.sun.org.apache.xerces.internal.impl.xs,29,8,520
com.sun.org.apache.xerces.internal.impl.xs.util,15,5,309
com.sun.org.apache.xerces.internal.parsers,27,6,324
com.sun.org.apache.xerces.internal.util,30,8,519
com.sun.org.apache.xerces.internal.utils,11,6,504
com.sun.org.apache.xerces.internal.xni,4,3,175
com.sun.org.apache.xerces.internal.xni.grammars,7,3,172
com.sun.org.apache.xerces.internal.xni.parser,7,3,172
com.sun.org.apache.xerces.internal.xs,5,4,247
com.sun.org.apache.xml.internal.serialize,20,5,423
org.w3c.dom.events,4,3,216
org.w3c.dom.ls,6,4,246
org.w3c.dom.ranges,3,3,217
com.sun.org.apache.xerces.internal.impl.io,7,3,172
com.sun.xml.internal.stream,20,6,450
com.sun.xml.internal.stream.dtd,7,3,212
com.sun.xml.internal.stream.dtd.nonvalidating,7,3,172
com.sun.xml.internal.stream.events,14,5,264
com.sun.org.apache.xerces.internal.impl.dtd.models,6,3,173
com.sun.org.apache.xerces.internal.impl.dv.dtd,5,3,174
com.sun.org.apache.xerces.internal.impl.dv.util,4,3,175
com.sun.org.apache.xerces.internal.xs.datatypes,7,4,244
com.sun.org.apache.xerces.internal.impl.xpath.regex,7,4,179
com.sun.org.apache.xerces.internal.jaxp.datatype,9,4,242
javax.xml.datatype,9,4,242
com.sun.xml.internal.stream.util,4,4,366
com.sun.org.apache.xerces.internal.impl.xpath,6,3,173
com.sun.org.apache.xerces.internal.impl.xs.identity,9,2,138
com.sun.org.apache.xerces.internal.impl.xs.models,11,3,168
com.sun.org.apache.xerces.internal.impl.xs.traversers,29,6,322
com.sun.org.apache.xerces.internal.impl.xs.opti,16,5,263
com.sun.org.apache.xerces.internal.jaxp.validation,34,8,515
javax.xml.validation,12,4,316
com.sun.org.apache.xerces.internal.xinclude,17,5,360
com.sun.org.apache.xerces.internal.xpointer,13,4,173
com.sun.org.apache.xml.internal.resolver,13,7,459
com.sun.org.apache.xml.internal.resolver.readers,12,5,431
com.sun.org.apache.xml.internal.dtm.ref.dom2dtm,12,5,343
com.sun.org.apache.xml.internal.resolver.helpers,9,6,461
com.sun.org.apache.xml.internal.resolver.tools,13,6,457
com.sun.org.apache.xml.internal.security,16,5,308
com.sun.org.apache.xml.internal.security.algorithms,15,6,500
com.sun.org.apache.xml.internal.security.c14n,12,5,312
com.sun.org.apache.xml.internal.security.exceptions,5,4,138
com.sun.org.apache.xml.internal.security.keys.keyresolver,13,5,311
com.sun.org.apache.xml.internal.security.transforms,15,6,500
com.sun.org.apache.xml.internal.security.utils,27,7,495
com.sun.org.apache.xml.internal.security.utils.resolver,10,4,199
com.sun.org.apache.xml.internal.security.algorithms.implementations,13,4,196
com.sun.org.apache.xml.internal.security.encryption,24,7,496
com.sun.org.apache.xml.internal.security.signature,25,6,304
java.security.spec,6,3,130
java.security.interfaces,5,3,131
javax.crypto,1,1,190
com.sun.org.apache.xml.internal.security.c14n.implementations,14,6,501
com.sun.org.apache.xml.internal.security.c14n.helper,6,4,203
