Item,Package Size,Module Size,Redundant Count
java.util.concurrent.atomic,11,11,1
com.sun.corba.se.spi.orbutil.proxy,10,10,3
javax.rmi,12,12,6
org.omg.CORBA_2_3,3,3,1
java.util.concurrent,14,14,3
com.sun.corba.se.impl.resolver,19,19,6
org.omg.stub.java.rmi,3,3,2
com.sun.corba.se.internal.CosNaming,8,8,3
com.sun.corba.se.internal.Interceptors,1,1,2
com.sun.corba.se.internal.POA,1,1,2
com.sun.corba.se.internal.iiop,1,1,1
com.sun.corba.se.internal.corba,1,1,1
com.sun.corba.se.spi.activation.InitialNameServicePackage,4,4,1
com.sun.imageio.plugins.bmp,17,14,3
com.sun.imageio.plugins.common,11,10,3
java.awt.color,6,6,1
java.awt.image,11,11,0
javax.imageio,16,14,3
javax.imageio.event,4,4,1
javax.imageio.metadata,8,7,1
javax.imageio.plugins.bmp,4,4,2
javax.imageio.spi,18,17,6
javax.imageio.stream,10,10,3
org.w3c.dom,2,2,0
com.sun.imageio.plugins.gif,15,14,5
sun.awt.image,32,24,-4
com.sun.imageio.plugins.jpeg,16,15,3
javax.imageio.plugins.jpeg,5,5,1
sun.java2d,24,23,2
com.sun.imageio.plugins.png,15,14,3
java.util.zip,14,13,2
com.sun.imageio.plugins.wbmp,12,11,3
com.sun.imageio.spi,5,5,2
com.sun.imageio.stream,7,7,1
com.sun.istack.internal,12,12,3
javax.activation,9,9,3
com.sun.istack.internal.localization,4,4,1
com.sun.istack.internal.logging,3,3,0
com.sun.java.swing,37,29,-1
javax.swing,53,51,12
com.sun.java.swing.plaf.gtk,36,35,5
java.awt.event,11,11,4
javax.accessibility,10,10,5
javax.swing.border,8,8,2
javax.swing.colorchooser,15,15,3
javax.swing.event,15,15,3
javax.swing.filechooser,11,11,2
javax.swing.plaf,12,12,5
javax.swing.plaf.basic,40,38,9
javax.swing.plaf.synth,34,33,6
javax.swing.table,17,17,6
javax.swing.text,33,33,9
sun.awt.shell,8,8,1
sun.font,33,32,7
sun.security.action,4,4,1
sun.swing,40,38,7
sun.swing.plaf.synth,19,19,6
com.sun.java.swing.plaf.gtk.resources,2,2,0
com.sun.java.swing.plaf.motif,18,18,6
javax.swing.tree,13,13,5
com.sun.java.swing.plaf.motif.resources,2,2,0
com.sun.java.swing.plaf.nimbus,2,2,2
javax.swing.plaf.nimbus,23,22,6
sun.awt.windows,2,2,0
sun.swing.table,10,10,3
com.sun.java.swing.plaf.windows.resources,2,2,0
com.sun.java.util.jar.pack,14,14,3
java.nio.file,17,16,3
java.nio.file.attribute,8,8,2
java.util.jar,16,15,3
sun.util.logging,9,9,1
com.sun.java_cup.internal.runtime,4,4,1
com.sun.jmx.defaults,2,2,0
com.sun.jmx.interceptor,12,10,1
com.sun.jmx.mbeanserver,17,15,3
com.sun.jmx.remote.util,13,12,3
javax.management,17,15,3
javax.management.loading,13,12,2
java.util.concurrent.locks,7,7,1
javax.management.openmbean,12,11,2
com.sun.jmx.remote.internal,14,14,6
com.sun.jmx.remote.security,18,16,6
javax.management.remote,11,10,3
javax.security.auth,9,9,2
com.sun.jmx.remote.protocol.rmi,7,7,4
javax.management.remote.rmi,31,29,8
java.security.cert,13,12,3
java.util.regex,11,10,2
javax.security.auth.callback,4,4,2
javax.security.auth.login,11,11,4
javax.security.auth.spi,5,5,2
sun.management.jmxremote,26,25,6
com.sun.jmx.snmp,10,9,3
com.sun.jmx.snmp.internal,9,8,3
com.sun.jmx.snmp.IPAcl,10,10,3
java.security.acl,4,4,0
com.sun.jmx.snmp.agent,9,8,3
com.sun.jmx.snmp.daemon,14,13,4
com.sun.jmx.snmp.tasks,3,3,0
com.sun.jmx.snmp.defaults,3,3,1
com.sun.jmx.snmp.mpm,2,2,0
com.sun.jndi.dns,17,17,3
com.sun.jndi.toolkit.ctx,7,7,2
com.sun.jndi.toolkit.url,8,8,2
javax.naming,6,6,2
javax.naming.directory,6,6,2
javax.naming.spi,8,8,2
sun.net,11,10,1
sun.net.dns,5,5,1
sun.security.jca,7,7,2
com.sun.jndi.ldap,24,23,4
com.sun.jndi.ldap.ext,10,10,4
com.sun.jndi.ldap.pool,7,7,3
com.sun.jndi.ldap.sasl,9,9,4
com.sun.jndi.toolkit.dir,7,7,2
com.sun.jndi.url.ldap,8,8,3
java.lang.invoke,24,21,3
javax.naming.event,5,5,1
javax.naming.ldap,11,11,3
javax.net,4,4,1
javax.net.ssl,15,13,4
sun.security.util,31,27,7
javax.security.sasl,6,6,2
com.sun.jndi.rmi.registry,12,12,4
com.sun.jndi.url.rmi,7,7,1
java.rmi.registry,9,8,1
com.sun.jndi.toolkit.corba,6,6,3
com.sun.jndi.url.corbaname,1,1,2
com.sun.jndi.url.iiop,7,7,3
com.sun.jndi.url.dns,8,8,1
com.sun.jndi.url.iiopname,1,1,2
com.sun.jndi.url.ldaps,1,1,1
com.sun.management,19,11,-5
java.lang.management,10,10,3
sun.management,31,27,3
com.sun.media.sound,16,14,3
java.util.prefs,13,12,3
javax.sound.midi,7,6,1
javax.sound.midi.spi,4,4,2
javax.sound.sampled,8,7,1
