Item,Package Size,Module Size,Redundant Count
java.util.concurrent.atomic,11,9,297
com.sun.corba.se.spi.orbutil.proxy,10,8,210
javax.rmi,12,8,249
org.omg.CORBA_2_3,3,3,125
java.util.concurrent,14,11,318
com.sun.corba.se.impl.resolver,19,7,178
org.omg.stub.java.rmi,3,2,123
com.sun.corba.se.internal.CosNaming,8,6,185
com.sun.corba.se.internal.Interceptors,1,1,2
com.sun.corba.se.internal.POA,1,1,2
com.sun.corba.se.internal.iiop,1,1,72
com.sun.corba.se.internal.corba,1,1,72
com.sun.corba.se.spi.activation.InitialNameServicePackage,4,4,132
com.sun.imageio.plugins.bmp,17,7,162
com.sun.imageio.plugins.common,11,4,118
java.awt.color,6,5,152
java.awt.image,11,6,177
javax.imageio,16,8,195
javax.imageio.event,4,3,102
javax.imageio.metadata,8,6,154
javax.imageio.plugins.bmp,4,4,106
javax.imageio.spi,18,9,184
javax.imageio.stream,10,5,136
org.w3c.dom,2,2,74
com.sun.imageio.plugins.gif,15,5,131
sun.awt.image,32,11,322
com.sun.imageio.plugins.jpeg,16,6,146
javax.imageio.plugins.jpeg,5,4,105
sun.java2d,24,10,228
com.sun.imageio.plugins.png,15,4,114
java.util.zip,14,9,298
com.sun.imageio.plugins.wbmp,12,4,117
com.sun.imageio.spi,5,4,124
com.sun.imageio.stream,7,5,151
com.sun.istack.internal,12,6,269
javax.activation,9,6,200
com.sun.istack.internal.localization,4,3,184
com.sun.istack.internal.logging,3,3,185
com.sun.java.swing,37,11,314
javax.swing,53,16,329
com.sun.java.swing.plaf.gtk,36,11,248
java.awt.event,11,6,191
javax.accessibility,10,5,135
javax.swing.border,8,4,140
javax.swing.colorchooser,15,7,187
javax.swing.event,15,8,187
javax.swing.filechooser,11,5,166
javax.swing.plaf,12,6,171
javax.swing.plaf.basic,40,13,334
javax.swing.plaf.synth,34,12,347
javax.swing.table,17,5,163
javax.swing.text,33,11,302
sun.awt.shell,8,5,241
sun.font,33,12,324
sun.security.action,4,4,135
sun.swing,40,14,363
sun.swing.plaf.synth,19,6,180
com.sun.java.swing.plaf.gtk.resources,2,2,85
com.sun.java.swing.plaf.motif,18,7,168
javax.swing.tree,13,5,167
com.sun.java.swing.plaf.motif.resources,2,2,85
com.sun.java.swing.plaf.nimbus,2,2,54
javax.swing.plaf.nimbus,23,11,322
sun.awt.windows,2,2,85
sun.swing.table,10,4,138
com.sun.java.swing.plaf.windows.resources,2,2,85
com.sun.java.util.jar.pack,14,9,199
java.nio.file,17,9,252
java.nio.file.attribute,8,7,264
java.util.jar,16,11,235
sun.util.logging,9,6,166
com.sun.java_cup.internal.runtime,4,4,138
com.sun.jmx.defaults,2,2,152
com.sun.jmx.interceptor,12,7,249
com.sun.jmx.mbeanserver,17,9,263
com.sun.jmx.remote.util,13,9,267
javax.management,17,9,263
javax.management.loading,13,9,269
java.util.concurrent.locks,7,6,240
javax.management.openmbean,12,9,199
com.sun.jmx.remote.internal,14,10,265
com.sun.jmx.remote.security,18,10,223
javax.management.remote,11,8,169
javax.security.auth,9,7,198
com.sun.jmx.remote.protocol.rmi,7,5,124
javax.management.remote.rmi,31,17,317
java.security.cert,13,8,211
java.util.regex,11,9,223
javax.security.auth.callback,4,4,137
javax.security.auth.login,11,7,168
javax.security.auth.spi,5,4,118
sun.management.jmxremote,26,11,201
com.sun.jmx.snmp,10,8,255
com.sun.jmx.snmp.internal,9,6,219
com.sun.jmx.snmp.IPAcl,10,7,247
java.security.acl,4,4,116
com.sun.jmx.snmp.agent,9,6,219
com.sun.jmx.snmp.daemon,14,7,222
com.sun.jmx.snmp.tasks,3,3,97
com.sun.jmx.snmp.defaults,3,3,107
com.sun.jmx.snmp.mpm,2,2,64
com.sun.jndi.dns,17,7,162
com.sun.jndi.toolkit.ctx,7,4,120
com.sun.jndi.toolkit.url,8,5,125
javax.naming,6,4,121
javax.naming.directory,6,5,125
javax.naming.spi,8,4,119
sun.net,11,6,149
sun.net.dns,5,5,140
sun.security.jca,7,6,167
com.sun.jndi.ldap,24,10,279
com.sun.jndi.ldap.ext,10,7,184
com.sun.jndi.ldap.pool,7,4,120
com.sun.jndi.ldap.sasl,9,5,149
com.sun.jndi.toolkit.dir,7,4,120
com.sun.jndi.url.ldap,8,4,102
java.lang.invoke,24,12,324
javax.naming.event,5,3,99
javax.naming.ldap,11,5,145
javax.net,4,4,123
javax.net.ssl,15,8,203
sun.security.util,31,12,267
javax.security.sasl,6,6,181
com.sun.jndi.rmi.registry,12,8,144
com.sun.jndi.url.rmi,7,4,103
java.rmi.registry,9,3,87
com.sun.jndi.toolkit.corba,6,5,104
com.sun.jndi.url.corbaname,1,1,52
com.sun.jndi.url.iiop,7,4,103
com.sun.jndi.url.dns,8,4,102
com.sun.jndi.url.iiopname,1,1,52
com.sun.jndi.url.ldaps,1,1,16
com.sun.management,19,8,177
java.lang.management,10,6,174
sun.management,31,12,291
com.sun.media.sound,16,8,165
java.util.prefs,13,9,314
javax.sound.midi,7,4,109
javax.sound.midi.spi,4,4,112
javax.sound.sampled,8,5,137
javax.sound.sampled.spi,4,4,112
com.sun.naming.internal,10,6,150
com.sun.net.httpserver,9,7,251
com.sun.net.httpserver.spi,8,5,134
sun.net.httpserver,15,8,262
com.sun.net.ssl,11,6,152
javax.security.cert,7,7,158
com.sun.net.ssl.internal.www.protocol.https,14,7,180
sun.net.www.protocol.http,28,10,206
sun.net.www.protocol.https,16,9,227
sun.security.x509,22,12,328
com.sun.nio.file,2,2,68
com.sun.nio.sctp,9,5,120
java.nio.channels.spi,11,7,278
sun.nio.ch.sctp,12,6,146
com.sun.org.apache.bcel.internal,4,3,104
com.sun.org.apache.bcel.internal.classfile,10,6,155
com.sun.org.apache.bcel.internal.util,10,7,184
com.sun.org.apache.bcel.internal.generic,8,5,138
com.sun.org.apache.xalan.internal.utils,10,7,264
com.sun.org.apache.xalan.internal,21,8,240
com.sun.org.apache.xalan.internal.extensions,7,4,113
com.sun.org.apache.xml.internal.utils,20,5,124
com.sun.org.apache.xpath.internal,38,9,246
com.sun.org.apache.xpath.internal.objects,16,5,138
org.w3c.dom.traversal,3,3,85
com.sun.org.apache.xalan.internal.lib,18,5,136
com.sun.org.apache.xalan.internal.res,5,4,126
com.sun.org.apache.xml.internal.dtm,8,3,100
com.sun.org.apache.xml.internal.dtm.ref,25,9,259
com.sun.org.apache.xpath.internal.axes,18,6,138
jdk.xml.internal,16,6,178
com.sun.org.apache.xpath.internal.res,6,4,125
com.sun.org.apache.xalan.internal.templates,2,2,83
javax.xml,1,1,52
com.sun.org.apache.xml.internal.utils.res,3,3,86
javax.xml.transform.dom,3,2,73
javax.xml.transform.sax,7,4,202
javax.xml.transform.stream,4,3,106
com.sun.org.apache.xalan.internal.xsltc,33,4,109
com.sun.org.apache.xml.internal.serializer,16,7,176
com.sun.org.apache.xalan.internal.xsltc.compiler,27,8,142
com.sun.org.apache.xalan.internal.xsltc.compiler.util,13,5,158
com.sun.org.apache.xalan.internal.xsltc.dom,30,6,215
com.sun.org.apache.xalan.internal.xsltc.runtime,21,6,140
com.sun.org.apache.xalan.internal.xsltc.runtime.output,11,4,198
com.sun.org.apache.xml.internal.serializer.utils,7,4,135
com.sun.org.apache.xalan.internal.xsltc.trax,34,9,276
com.sun.org.apache.xalan.internal.xsltc.util,2,2,74
com.sun.org.apache.xml.internal.dtm.ref.sax2dtm,12,4,130
com.sun.org.apache.xml.internal.res,5,3,114
javax.xml.transform.stax,4,4,190
org.xml.sax.ext,5,3,103
com.sun.org.apache.xerces.internal.jaxp,24,6,152
javax.xml.stream.events,6,5,222
com.sun.org.apache.xerces.internal.dom,30,11,270
com.sun.org.apache.xerces.internal.dom.events,4,3,95
com.sun.org.apache.xerces.internal.impl,24,8,263
com.sun.org.apache.xerces.internal.impl.dtd,13,5,131
com.sun.org.apache.xerces.internal.impl.dv,9,4,112
com.sun.org.apache.xerces.internal.impl.dv.xs,19,7,145
com.sun.org.apache.xerces.internal.impl.msg,5,3,105
com.sun.org.apache.xerces.internal.impl.validation,6,4,115
com.sun.org.apache.xerces.internal.impl.xs,29,8,156
com.sun.org.apache.xerces.internal.impl.xs.util,15,7,165
com.sun.org.apache.xerces.internal.parsers,27,7,161
com.sun.org.apache.xerces.internal.util,30,10,273
com.sun.org.apache.xerces.internal.utils,11,7,284
com.sun.org.apache.xerces.internal.xni,4,3,106
com.sun.org.apache.xerces.internal.xni.grammars,7,5,137
com.sun.org.apache.xerces.internal.xni.parser,7,4,126
com.sun.org.apache.xerces.internal.xs,5,4,116
com.sun.org.apache.xml.internal.serialize,20,11,304
org.w3c.dom.events,4,4,98
